Title,Company,Location,Link
Embedded Software Engineer, LTA Research & Exploration, Mountain View CA, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8ODmvOfgFoUR3noi9T2xJml3k34GIGgY8Dss4CsPUI0EEx__vBqZwCigiHOqHXoplxH8vUpZIajgkq090sd_EymElbEtolgtEOioW8tsZjef-_Ln4lJ9t-z_b4YBUqC7eF6ViO48vdYESSoBz0ovaLFqkhPv0rF-_-PFUPGC1f3AogKlERndZTp6yrCoI6e6w-Y4ieXCxSIa0vfRyKjndCwOaek-9xyGmPaCBecv_kenBBIXoN4xtb6Jo3tyaZZNkvKqbxk3SThvaKOIXO871WgC2eAdF_V6tsWAtdBhpusJtfnPGKTZ8ChgxEdMTggdgVStWzTIiD6u8BvUOQ0BPLO6mcCsn6tqvLMnICgZIGVkFW91xzTLBKTNeSbxN9GmRdW9e-eFpuPqAXU7J4I3c0GIQP-itL_WScVLzLlb9-wAjVDxdZu1ixC2EnyCFheJ4bWUxdR5ffuUhpYzzn_ywl9VnE80YbvY=&p=0&fvj=1&vjs=3
Technical Support Manager, Splashtop Inc., San Jose CA 95129 (West San Jose area), https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHz9YEKfC5jjSGtVQVO4BYSPC_EXw3vBERcFdVbIgzwROCgGeIBSAU2RF3YwDGS8jj_-HN7jBe0w2b_eAyBALNTCBRWU-mgC2EQ8Dd3HlmfCuPXoD_N3PP8f6HrTGhZ1SAd33oR7d71VX0tws6Ffe5KI3RLHZUR-rfnx7gOhT6o62oDZM31DHisVsP-fpNV4u0lkj7nGzwnp4VLE1lbcpGFxkKUWjmVdGVlNEXLCpuaVHKwkrH1pAsDDD-NHQG6wn0cBlpDMRprORygsnuR9GaL4FtW7BpC_RVgKSWfYYM8MaTWBwnWf7PA8hYc-oFh9nJtme-pgWbp8Paw9d1QxVnOovuQhGYC4a9kM4CDEJP9geoNAWEjhffMi_V4-45aAzN-TKz5_0IoMp7NTbxOXq-oCO27ngQ6b0oRVWlZAvqkp08jW4M6hln7AIylmaUwV0hR6uk2YoQb66tC_JofZ6OUrB3_oMzYQ0=&p=1&fvj=1&vjs=3
Game Designer, Crazy Maple Studio Inc., Sunnyvale CA, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQIlZWntL9XVS-D22D9EgaWqQYGuhjVRlbjZlDrq_hb76dHQU7elGppIuMUq5c1Ae4v-fi5ec0GXHoKQeEE38DdtowDfjW11IJN8a4IlzgDk3crruTT7xL84f8I8NAEA7WJnZGHSP4zqHadDLcF4xszE72IFM9h-CO2U8z1WbjOw43bBfaMBGFEdAtfmvQxaE6OGwkLUrjpYv7pyU2mxsvWMTXkd4szoTd4MD3TsSdy9QKd51yWkZKSxVE0KL9L2HI3rGALYO_Sv4d4aIZ4b_bGn4JWTa_iIWVkXIsBE-2iiH-9C_XCUSNCQ8SV0qVva0tlXrSig_mUTYySx33fWQx9TM6dNk8NAHDDBZ9KYyGXV-HaRyk8qCZ0OXCmLjKA73VbXqmswIFhUOty5deEX727taxhq0hxjRfIqrTdpw__br48c0mcYtEsumxl2OBmDXuF8MyvEgVrw==&p=2&fvj=1&vjs=3
Software Quality Engineer Medical, Specific Diagnostics, Mountain View CA 94043, https://www.indeed.com/cmp/Specific-Diagnostics
Software Developer, Fusion Tech Solutions, Milpitas CA 95035, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7Y6TaGE4o3izctLwwcpBWo-pqN-PyBdukf2cdhPJX_io1VnexqRskMnVkz4OyllFbobOmSVQs5O3np7-tDztewwsS0D0deKFkYl1NP3dtMod3qGSDRTYJqE9dL2PcwnCI-V7xm4EdQMylHLeqiim5PYukdfuywUx6zdBaKFaiMv1pEJgxubMOGkIn13rYFaPYXYdSiJsuoJI7fiPDL5rv5quYsst9nSHF6GUlIRvi7MtVDb5hCe2NRMdvArRZbWjRK7rkPhnj5oZu6cIxW9Rk5TlQaE3-frdAtm2cgg2687sFRctJTZ8tdB2izvLNjdab2IaMOGlCWcmr-wENovfDzalNSP8QseV_SUfa9LWF0AgXyJ7GrjZVOi9DSKSTbGDxCfPnhk3BfkyI0g1F33Eb9aMmIbbWCul2bh8vbJK6ZrgjpR521hN_Uay1LK6tRw3Sp6aKvYB9dNWrFxndFc6O&p=4&fvj=1&vjs=3
Entry Level - Software Developer, Smoothstack, United States, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-PZ76-Buf7EcnCv0gKKLndR0YEV2kTxuAD_VKH6HEbZFGsVNkpiitjOp_daSiXpE3Pd_X3qe-bekUwRlgzVovAcCBt0z5yUU5xFBeE38vP8NN1cwM2zQW5_7-qCme8EqikVIq1bsD_P7ZTKHLGa-prqi2DipwSVoz5EE04G2ho5_SlLJ9one1ylWFPhxoBtbpxG0_6Z9JH9CkSCvftIEWTLDV4__5nEJGROhG-Guy_N-146W5GkGnfY-L3ZXhm0RPfRZGfDMEJT6gDz9mjfKcUWXPfpSM2meTPmNlm5f9IATU9ixVAaQwAw1YLDym_2N17DFgPMihiAyrSefh3fiXZnKiTMH1MlhsWDNWCp5gaeImvkZwZ4nDxs63aQyILQEbNhdRobcF11NbsigKeneYXFyZ82J7sZnkOyQdE2plYe-&p=5&fvj=1&vjs=3
Stock Market Futures Systems Easy Language Coding Intern, Riverfy, San Jose CA 95050, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJ72LirFtTk71I44ZXoMsKFXd10ao4ZkkG6XT92OQP5tfYXAgPRpVe3tXsVPn6GVMEDq25QNsdyP7uXbi6kjjqbN9rApbs0KCk_nGLF24_bx0UEB5yLvArq0-tUoYZeOlXe8hdOI0_TccNCQC9S-1SPgu9jRyVTX3KFIxybxX23bewkuEzZtM-kaBgVVWWfgcO1pAiwS3CX46ec4sQC3s5bAKr0geJt2wrGpO8a5C-SKZUGFJfVazu4EDgg9yYUYvKJ7oLOG87-shenSQbAnnl5x81pw72MyJxTrxyNCf7d7_yF8fclj8m-2rPAbiGBlKMVmPQVK3xcrnmpQBToVu-vALeWzdz04pdt2bF3WjaeLPrC3OE7cU9NkABnS6gvIs3-ptgUskk4GCSYA6J1-TWjyyPd29kAe5QUVNC26XNVQT4zjJJCX7X_L9da0Evvubm6SQ0SApuMx57H-eufCGsrJHnNGELEmLeKH7uBmHT8rYivXi2lyck3AUyQRZQVDg=&p=6&fvj=1&vjs=3
Software Engineering Intern, Cepheid, San Jose CA 95050, https://www.indeed.com/rc/clk?jk=e5caef0cf8641813&fccid=2dc2f35c3405a529&vjs=3
Computer Science Programs (Entry Level And Above), Livermore Navy College and Career Center, San Jose CA 95050, https://www.indeed.com/company/Navy-Talent-Aquisition-Group/jobs/Computer-Science-Program-200f28a009ffa0db?fccid=00176882e699ffb9&vjs=3
Part-Time Computer Science Teacher, Notre Dame High School San Jose, San Jose CA 95050, https://www.indeed.com/company/Notre-Dame-High-School-San-Jose/jobs/Part-Time-Computer-Science-Teacher-607deb576d9783ac?fccid=597f15593496af58&vjs=3
