Software Engineer, LTA Research & Exploration, Mountain View CA, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8ODmvOfgFoUR3noi9T2xJml3k34GIGgY8Dss4CsPUI0EEx__vBqZwCigiHOqHXoplxH8vUpZIajgkq090sd_EymElbEtolgtEOioW8tsZjef-_Ln4lJ9t-z_b4YBUqC7eF6ViO48vdYESSoBz0ovaLFqkhPv0rF-_-PFUPGC1f9nEJPN0mBiLj1jQB5B_C-gDlfKCvpK2dczQc1jBkk4jFR9vX3YzmrvSKYsvVXmDEGNsPXcz-uR25HVDLibNUXQ2pID02szCsmhxz1DnXxTz38xF4d0AMMbiZel_ljKjzQN_ZKgjls0i0bOaDAq-lf6otHTC3lQmzZtTrgPlhAMbqAC49mq4r9Eo0DU3GnvNMq4-5Cl3wvIVB2JWhYfFiLvonVfENtuhZPvOwKQyRjlfF55g5rhRedKm538DjdrbUoeu7lwJguDkJLw51eL_0aXKR7ufkd-Uz9Uoq-g_kv3h&p=0&fvj=1&vjs=3, Indeed
Staff/Senior Software Engineer - Deep Neural Network Compiler, Black Sesame Technologies Inc, Santa Clara CA 95050, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1y6JstYOqKQSjlTzRNpLqbqc-mamcipwBCr4Y7LMyilymUvHvOsAfR_l156QRsSJPOQ0kbr2axH-RNWwal7W-xM_yi6vM8X1ootdR2aGnPIU2WSQ-vqxz2FrXWR7gnacHQRF1HhhIBzaWTzUeOvjUnY2I71d4NRHadOR-sZeg_SpO5Qd-0xWSXYbtsnd17EuWtvJ2FOwrhUscqQUaopGAohK-R9xlkQ_Ml4gAwkyp4dl8jIsXCo063P0BXkaSXO-vWixD7YVh_b_kZZSrXtDsqtVgjzCWUEhVyFQRQeaRsylbLYOoxad625tRTr5thKf5TfCeTVzZEUwPncg-9W0DRQq6BHgWA9rzZrr2kJ2eeeKqaAMnE-Kd3Oi-RqSokq9yn2VMADtasr8HPXCA7Q1pNRufQFtcjfiHvIgbDZ6AuVWNiwYvSYVPeR6Da-uTSaELBl8UMsUz043LRgh212iuKp6Db4r4XWJK-uMgOsLxgO7ty15QK6JsrNAuILOu3L4TT_3nzoLBLw==&p=1&fvj=1&vjs=3, Indeed
Cisco Network Engineer, SON Technology, San Jose CA 95134 (North San Jose area), https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8wPOJ7goKqZBT0LLsSjiSLac3pWLaO8CXhUMzUiB0TOaQT9RD8qSgjd6GwoNVvbnUEQREHpO_KXNL9wOWKM7lM-7CXDVnh82AiQynyuWwCZ-DoxZ6NCIGBgDQShvHBL3QNQvnweqdafvzRKK-2VAD6qgtYNTLzN4rAdzs9qgdHn0pMYOsU70WHOXq6NV1umh7xEdwjnyr8H4axAFxTYZo-90oJSUOIcE4fvjnqrmAT_jvzCkxtldYtkZiSmQMsoJ_ZZ3otXNEdYJ6qI-WB9VpGCrRUu9zuROIrtXgFdkEr_A1-C9vrnd2ai_UNyHzLYccD68a1PAEaFK8y2HOdDq7MFbBGuDe1vyH144yJQMIP1yFlOSj4GfpLFZxhtv4qFz7dzQ5h8v87hjuYl7LM-5mBF3UfLetvW5OvnXwM0XXdKrTnZmy4Bh_TvuSzGXOn8W7E7DE5ylhxaUaWa0zcTyJ&p=2&fvj=1&vjs=3, Indeed
Sales Engineer - Enterprise Saas Startup, CENTRL Inc, Mountain View CA 94041, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cx6otC4ZvUQFsja-gFiq426hzVntMEekZfVrBZqW9meRUHJazFNClTREI0eCTcXM2IB2iqKgOdIYYBYEv1deU-cI0-7cnZqFYoalNRvvUc94mt97a3nL4tqJykbpSS4uMRTkxDB0xXPwrdzzuMxeOa86j3S5coxJzqsX_ODgf1MhkObedgoaLiH5L9Cb4Z4B8VJnCRmiobX2Cc5_pZWbHJNfgocs_spR2R-SPmri4rPpH6Gxjg8OXrN2oFQW7nn7L_HuIrPnkq7NeIdftDJOOhMylHGB3hEqs4afifJ73k19v-RYvN1mvNE2Ov2TR0ix33ydgjdFpkCvm2HI44P73aiB6vPxFlanrAvIP1siRbKVzJjVg8jVtayzSswJqhCOOalGsXPppgpkNeVbCVWuSgvXNfYTtXQRdKgervS7TFYXuMxAn93uLoZ6utUN5plwAxAvzWInGxoB2e-JVVRGTxDDqd_V5LQrw=&p=3&fvj=1&vjs=3, Indeed
Senior Full Stack Software Engineer (Full-Time/Contractor), Sunvalleytek International Inc., Fremont CA, https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRFY1NM2xMzqdvDQSZfH26JlOdePEZxmibwvzCpTt8JkU0hR_6CjHaTT7DYzF_Py0Nx3QdxLh9qJtqfFiz-_Qcg5smBeqVuuAnCJVSv2sMnFGSQE-D1AFgSKA3aGONLBMgSlKte4_f3Qd0dxzH_2IrOWvVqEZvx12T33bhC9OSN7rB48-Q6dw-qdscneAFDCr7Ir3XiyCYsiAMSXSLCREwF0OAupYUWSXrMsWpaOIUIKkfqbHMfu_efp46S7djBqob1Q2FoQ0XkGotP1yOaBUoYQqx-kZhPVnu4EPpU6pGWxUL7hgl_dUvxNc7NKqKXs-zjhdphIyoXZoVD44Sw6mu_ZaK7vuQ9fKfXZjWyTB1diCG9lHL8nhk_9OQv2N1SEmBE2VvF-irkgXNdespWdeZSOh6Yaftkr0v0WIHSdv1EtmAvh_PQRFnc1nqhbTanLkD7RP482w69oKLmIAZ0l0EP660QbKiFIogxcjkXisMH6E2lWJzuegLEp-UyUWIYgo=&p=4&fvj=1&vjs=3, Indeed
Computer Science Programs (Entry Level And Above), Livermore Navy College and Career Center, Fremont CA, https://www.indeed.com/company/Navy-Talent-Aquisition-Group/jobs/Computer-Science-Program-9ecacae4136a619f?fccid=00176882e699ffb9&vjs=3, Indeed
Help Desk Technician, Ryzen Solutions Inc., Fremont CA, https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Help-Desk-Technician-11dbe8ac0215d971?fccid=021e5b9130f2eb79&vjs=3, Indeed
Front End Engineer Intern, Oigetit Fake News Filter, Fremont CA, https://www.indeed.com/company/Oigetit-Fake-News-Filter/jobs/Front-End-Engineer-Intern-b060f3e2f5970ade?fccid=bbe704ff777ec01a&vjs=3, Indeed
Computer Science Teacher, AlphaStar Academy, Fremont CA, https://www.indeed.com/company/AlphaStar-Academy/jobs/Computer-Science-Teacher-03aeb660beedec9d?fccid=7860d1aa92e5bb49&vjs=3, Indeed
Goverment Jobs Opprotunities (Entry Level) With The U.S. Navy, Navy, Fremont CA, https://www.indeed.com/company/Navy/jobs/Goverment-Opprotunity-US-68b47bd215c251d8?fccid=e5bfc7c65a4e60de&vjs=3, Indeed
Stock Market Futures Systems Easy Language Coding Intern, Riverfy, Fremont CA, https://www.indeed.com/company/Riverfy/jobs/Stock-Market-Future-System-Easy-Language-Coding-Intern-3da1bf4d47abf376?fccid=2ac6ea2044fb69a2&vjs=3, Indeed
