Title, Company, City, State, Link 
Test Engineer, Spectranetix, Inc., San Jose, CA 95134 (North San Jose area), 
Software Engineer - University Graduate, PayPal, San Jose, CA 95134 (North San Jose area), 
Software Engineer, Growth Experiments - Evernote, Triplebyte, San Jose, CA 95134 (North San Jose area), 
RTL Engineer, The Brixton Group, San Jose, CA 95134 (North San Jose area), 
Full Stack Developer, Bhuvi IT, San Jose, CA 95134 (North San Jose area), 
Software Engineer - Unity Tools Developer, IGG, San Jose, CA 95134 (North San Jose area), 
MTS 1, Software Engineer, PayPal, San Jose, CA 95134 (North San Jose area), 
Computer Science Teacher, AlphaStar Academy, San Jose, CA 95134 (North San Jose area), 
Computer Science Tutor, HS2 Academy, San Jose, CA 95134 (North San Jose area), 
Computer Science Mentor, Fremont STEM, San Jose, CA 95134 (North San Jose area), 
Computer Science Specialist, United States Navy Career Center South Bay, San Jose, CA 95134 (North San Jose area), 
Machine Learning Engineer, Ariana Solutions, San Jose, CA 95134 (North San Jose area), 
Business Systems Analyst- TSS, CCS Global Tech, San Jose, CA 95134 (North San Jose area), 
Program Manager, Savari, Inc., San Jose, CA 95134 (North San Jose area), 
Computer Vision Intern, Matroid, San Jose, CA 95134 (North San Jose area), 
Business Systems Analyst- ESA, CCS Global Tech, San Jose, CA 95134 (North San Jose area), 
Software Engineer – New College Grad, Proofpoint, San Jose, CA 95134 (North San Jose area), 
ASIC Front End Design Engineer, TSMC North America, San Jose, CA 95134 (North San Jose area), 
Software Security Engineer, CDK Global, San Jose, CA 95134 (North San Jose area), 
