Title, Company, City, State, Link 
Technical Support Manager,Splashtop Inc.,United States,
Software Operations Engineer,CDK Global,United States,
Software Engineer III,CDK Global,United States,
ASIC Front End Design Engineer,TSMC North America,United States,
Front End Software Engineer,Shrimpy,United States,
Software Engineer Frontend,eBay Inc.,United States,
NodeJS Developer,Jonajo Consulting,United States,
Computer Science Specialist,United States Navy Career Center South Bay,United States,
Geographic Information Systems Specialist, Data Operations, Geo,Google,United States,
Software Engineering Internship,Apple,United States,
Computer Science Teacher,AlphaStar Academy,United States,
Intern- Computer Science Laboratory,SRI International,United States,
Summer 2020 Software Engineering Intern,ON Semiconductor,United States,
Solution Consulting Intern, SC Academy,ServiceNow,United States,
Software Engineering Intern,Cadence Design Systems,United States,
Software Engineer (Entry Level),DataCare Corporation,United States,
Computer Science Tutor,HS2 Academy,United States,
Software Engineer - Unity Tools Developer,IGG,United States,
Entry Level - Software Developer,Smoothstack,United States,
