Title | Company | Location | Link 
IT Systems Engineer | International Atomic Energy Agency | San Jose, CA | https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-0dMFuxQNK4IDa9G2ON6fipQds1bibdIIQd6XOph7B02dbVTt5bbTM1UaTVTDCOoGKkcE7JGBaqLDC6sft_DU2FZjbNeu-xQRnphNVGSZpYJW5hV5licRUgoL8ZuFZ1SA1z8jtVIZ-HrHS6Y2m3LmGRYwWLsIfoVYS8BZKo21RJkoOLhPEjBN8_st8bD6FyW55XBOxA9Rdmvyq7A9gsM_-0qI6plTyEiy3rgqLMuSOCvZlto-wZLiyz4BVPsQ15Ho0BxHbOMG9NC1ZKwg_zjTODK30vj0Wn8NOqYhvQtSdR9V6fYjCt5NYNpV3GrwjRnkVlQapVdf99vbMUhViCq0EnfqT-xn5H0zhWXccQIf4eQwSLdpNpR7YrIOpzLtxjrnozxKcFkYuLwznxz1wGjVK62KozEGmkFN4UHl1-yDfxz6_q6FXJV4jbr-xvN70kdI0YCt3PVvu2td68kK0IpR&p=0&fvj=1&vjs=3
Technical Support Manager | Splashtop Inc. | San Jose, CA 95129 (West San Jose area) | https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHz9YEKfC5jjSGtVQVO4BYSPC_EXw3vBERcFdVbIgzwROCgGeIBSAU2RF3YwDGS8jj_-HN7jBe0w2b_eAyBALNTCBRWU-mgC2EQ8Dd3HlmfCuPXoD_N3PP8f6HrTGhZ1SAd33oR7d71VX0tws6Ffe5KI3RLHZUR-rfnx7gOhT6o_3TL9q_Ppk6-_gyy1xXJBzMWciTuiNH0QlPSiNyg_fHbT-M4gF3l_PvNKHOh3Lyzq6TembwJdzEb7EWwndJmWmy8I0jxEQc-o9zdVyYiipYR8rpG0Q2Z7QfVl0MWNaSCzu-cXtlkkhkIe9dV_U_f48Fy78gu553ZMyGapFXBjVgyHRFuhCJYkZfRDE8o0-PHpRgQMzb58y0swgTxwd34AOtJi3DF7rfceEEX4dkI3lZ0AtZ-SwjQbQMRYCyVgqorH58NAnmTv1PuyLpcUfGDkJqFfKlCH0d-41u0BGzNgkJgyFkZy523Uo=&p=1&fvj=1&vjs=3
Software Developer | Fusion Tech Solutions | Milpitas, CA 95035 | https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7Y6TaGE4o3izctLwwcpBWo-pqN-PyBdukf2cdhPJX_io1VnexqRskMnVkz4OyllFbobOmSVQs5O3np7-tDztewwsS0D0deKFkYl1NP3dtMod3qGSDRTYJqE9dL2PcwnCI-V7xm4EdQMylHLeqiim5PYukdfuywUx6zdBaKFaiMtKS7iRdkVCD-yuaLhLkiaVjIo7p7S6ou6jQfBs6kF-8RhvHiCmdNs4Dv4aa1qCPf1nIfLMZP9DbceJI4pZhuhFJFXeeTpG05XpB0R3Vxoi1x3bun55u1vdDgr9-ARf4_GyralaEtOnCANwGLxvRF5kpziHE-qqTqc0hHA-d50Jf0EeBUJdnrOlsr75o9565buiIctR1uARDuFUFsaZYi9K1X-k8vGnwFSVTetxWcZv7twsi40TEPMRrF9bNml1pCwbU4AyQFEnFlQqIgk5Gc0uGXHHks3ksznNnSI5NrB_q&p=2&fvj=1&vjs=3
Software Development and Test Engineer | Specific Diagnostics | Mountain View, CA 94043 | https://www.indeed.com/cmp/Specific-Diagnostics
computer science programs (Entry Level and above) | Livermore Navy College and Career Center | Mountain View, CA 94043 | https://www.indeed.com/company/Navy-Talent-Aquisition-Group/jobs/Computer-Science-Program-200f28a009ffa0db?fccid=00176882e699ffb9&vjs=3
GOVERMENT JOBS OPPROTUNITIES (Entry Level) WITH THE U.S. NAVY | Navy | Mountain View, CA 94043 | https://www.indeed.com/company/Navy/jobs/Goverment-Opprotunity-US-68b47bd215c251d8?fccid=e5bfc7c65a4e60de&vjs=3
Computer Operator II | Advanced IT Concepts, Inc. | Mountain View, CA 94043 | https://www.indeed.com/company/Advanced-IT-Concepts,-Inc./jobs/Computer-Operator-9ff67d8d594a6d8a?fccid=4555d506c001dae5&vjs=3
Intern: Software Development | Equinix | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=3251f7ba975f73f4&fccid=e15d9e27876d9dc3&vjs=3
IT Field Services Technician - San Jose | Chipotle | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=6bcb5303051fd06b&fccid=8e9ae7de18dcd13e&vjs=3
Software Engineer – New College Grad | Proofpoint | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=63d16123d42a7e68&fccid=69c7d55b78dc7424&vjs=3
Software Engineering Internship | Apple | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=b462839caec76930&fccid=c1099851e9794854&vjs=3
Computer Science Teacher | AlphaStar Academy | Mountain View, CA 94043 | https://www.indeed.com/company/AlphaStar-Academy/jobs/Computer-Science-Teacher-03aeb660beedec9d?fccid=7860d1aa92e5bb49&vjs=3
IT Support Specialist | Terralogic Vietnam | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=6667422fd6896078&fccid=45980a929e9d6ab1&vjs=3
IT User Support Specialist | Santa Clara Family Health Plan | Mountain View, CA 94043 | https://www.indeed.com/rc/clk?jk=b6b846f748ecf475&fccid=7d46cc39cbe4c313&vjs=3
