Title | Company | Location | Link 
Math & Computer Science Dept | Kings College | Wilkes Barre, PA | https://job-openings.monster.com/math-computer-science-dept-wilkes-barre-pa-us-kings-college/217254277
Lecturer, Mathematics & Computer Science | Univ. of Redlands | Redlands, CA | https://job-openings.monster.com/lecturer-mathematics-computer-science-redlands-ca-us-univ-of-redlands/217243329
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT 10- | Southwest Research Institute | San Antonio, TX | https://job-openings.monster.com/research-computer-scientist-research-engineer-sr-computer-scientist-software-development-10-san-antonio-tx-us-southwest-research-institute/217097936
Program Director, Faculty, Computer Science | Southern Nazarene University | BETHANY, OK | https://job-openings.monster.com/program-director-faculty-computer-science-bethany-ok-us-southern-nazarene-university/217234237
Substitute Teacher - Computer Science | Perkiomen School | PENNSBURG, PA | https://job-openings.monster.com/substitute-teacher-computer-science-pennsburg-pa-us-perkiomen-school/215272330
Senior Backend Engineer - Node.js, JavaScript, Computer Science | CyberCoders | Beverly Hills, CA | https://job-openings.monster.com/senior-backend-engineer-node-js-javascript-computer-science-beverly-hills-ca-us-cybercoders/217238984
Senior Python Data Business Intelligence, Analytics Engineer in San Jose, CA | OSI Engineering | San Jose, CA | https://job-openings.monster.com/senior-python-data-business-intelligence-analytics-engineer-in-san-jose-ca-san-jose-ca-us-osi-engineering/215871129
Data and Analytics Engineer | Fidelity TalentSource | Durham, NC | https://job-openings.monster.com/data-analytics-engineer-durham-nc-us-fidelity-talentsource/3e22300c-98e8-400c-8f90-b2c4b07cbcea
Sr. Advanced Data Scientist | Honeywell | Atlanta, GA | https://job-openings.monster.com/sr-advanced-data-scientist-atlanta-ga-us-honeywell/216723028
Senior Developer (GIS Python) | Company Confidential | HOUSTON, TX | https://job-openings.monster.com/senior-developer-gis-python-houston-tx-us/217012216
Assistant Professor - Information Technology | College of the North Atlantic - Qatar | Doha | https://job-openings.monster.com/assistant-professor-information-technology-doha-qa-college-of-the-north-atlantic-qatar/217058940
PhD - Recent Graduates - Physics or Computer Science | Reperio Inc. | New York City, NY | https://job-openings.monster.com/phd-recent-graduates-physics-or-computer-science-new-york-city-ny-us-reperio-inc/195612860
Environmental Scientist – Entry Level | Stell | Clarks Summit, PA | https://job-openings.monster.com/environmental-scientist-–-entry-level-clarks-summit-pa-us-stell/217036083
Senior Data Engineer (SAS/PYTHON) | Zillion Technologies Inc | Vienna, VA | https://job-openings.monster.com/senior-data-engineer-sas-python-vienna-va-us-zillion-technologies-inc/217247117
Data Scientist - San Francisco CA | Advantage Resourcing | San Francisco, CA | https://job-openings.monster.com/data-scientist-san-francisco-ca-san-francisco-ca-us-advantage-resourcing/217239949
Associate Scientist | Park Computer Systems, Inc. | sunnyvale, CA | https://job-openings.monster.com/associate-scientist-sunnyvale-ca-us-park-computer-systems-inc/217252232
Medication Historian | St. Peter's Health Partners | Albany, NY | https://job-openings.monster.com/medication-historian-albany-ny-us-st-peters-health-partners/217229811
Cytology/Histology Assistant Per Diem | CHRISTUS Health | Santa Fe, NM | https://job-openings.monster.com/cytology-histology-assistant-per-diem-santa-fe-nm-us-christus-health/bdf13807-d8b0-42d0-a247-315f6dfd5901
Lab Technician | Henkel | Compton, CA | https://job-openings.monster.com/lab-technician-compton-ca-us-henkel/217197635
Medical Laboratory Technologist - Toxicology | QR Diagnostics | FORT MYERS, FL | https://job-openings.monster.com/medical-laboratory-technologist-toxicology-fort-myers-fl-us-qr-diagnostics/217209707
Associate Production Scientist | MilliporeSigma | Sheboygan Falls, WI | https://job-openings.monster.com/associate-production-scientist-sheboygan-falls-wi-us-milliporesigma/217193733
Campus Recruitment - Entry Level Scientist | Naval Nuclear Laboratory | Idaho Falls, ID | https://job-openings.monster.com/campus-recruitment-entry-level-scientist-idaho-falls-id-us-naval-nuclear-laboratory/e37bc140-8239-4308-b827-a6ae474d8a2b
C# Quantitative Programmer with Equity/Fixed Income | The Astor Group (main card) | New York City, NY | https://job-openings.monster.com/c-quantitative-programmer-with-equity-fixed-income-new-york-city-ny-us-the-astor-group-main-card/195126628
Dental Ceramist Tech/Anterior Esthetic Waxer | BCI Dental Laboratories, Inc. | PETALUMA, CA | https://job-openings.monster.com/dental-ceramist-tech-anterior-esthetic-waxer-petaluma-ca-us-bci-dental-laboratories-inc/217184993
Lead Data Scientist | S&P Global, Inc. | Boston, MA | https://job-openings.monster.com/lead-data-scientist-boston-ma-us-s-p-global-inc/217156621
Senior Data Scientist | Ninja Analytics, Inc. | Alexandria, VA | https://job-openings.monster.com/senior-data-scientist-alexandria-va-us-ninja-analytics-inc/217164829
